40	4	10

1	1.3	1.55	1.75	2.1
4	6.76	9.61	12.25	17.64

30	56	2	16	33	27	75	44	87	85
59	96	38	20	97	5	55	99	12	2
75	96	34	77	32	26	29	57	62	87
51	10	84	89	17	51	15	93	37	26
61	87	63	84	77	96	84	58	78	60
80	86	23	46	97	35	1	71	51	89
52	13	74	48	67	59	37	33	53	11
61	27	91	24	68	7	42	54	65	7
58	8	11	8	83	55	84	60	88	3
61	66	89	99	47	2	90	9	32	47
20	35	66	80	70	74	94	71	89	83
57	63	44	71	51	90	27	27	17	47
15	52	79	19	56	33	23	17	92	80
49	52	69	63	6	91	21	6	2	49
44	86	58	30	46	98	62	80	65	48
72	76	31	95	46	20	62	93	78	18
66	64	70	9	23	76	55	89	46	69
2	63	36	79	2	1	23	46	69	20
40	74	73	67	20	57	58	59	44	64
52	48	29	7	26	22	78	99	3	68
6	10	15	37	50	56	98	12	58	9
2	24	55	76	54	80	4	55	61	14
4	2	7	66	67	98	13	90	15	53
66	92	11	12	16	3	82	16	88	93
17	98	84	74	78	5	1	92	58	10
1	78	22	94	82	30	13	59	34	81
72	93	93	24	22	27	55	85	64	64
62	4	8	63	29	84	43	42	53	66
24	72	36	74	1	34	31	88	87	2
65	1	82	11	27	66	13	13	94	38
33	41	26	53	60	78	76	60	83	63
63	8	44	12	33	45	7	74	9	84
99	4	67	9	59	63	61	40	68	32
96	35	62	53	17	18	35	89	48	2
56	30	94	59	54	18	31	12	94	20
39	13	83	23	7	17	46	73	36	19
36	45	17	69	74	69	83	27	26	76
81	80	10	70	12	36	91	68	92	93
51	97	21	14	90	45	33	94	71	18
45	90	12	72	44	95	82	44	97	83

8	10	2	5	6	12	8	1	8	7
7	19	2	19	13	1	19	9	14	7
10	3	12	16	20	11	2	16	20	1
1	10	6	13	6	15	9	7	4	13
1	13	8	9	13	9	14	6	16	20
13	16	17	16	14	10	17	6	4	19
3	19	6	4	18	5	17	17	15	4
17	14	9	10	12	5	15	6	9	9
8	18	18	2	15	20	1	9	8	17
10	10	17	7	7	10	7	4	5	12
13	5	20	16	13	4	17	15	16	20
16	6	11	20	17	14	3	14	19	12
6	13	3	17	4	8	3	3	15	7
7	13	4	11	4	12	14	15	11	15
8	12	13	13	4	13	13	6	12	10
12	18	12	5	13	14	9	1	4	12
3	7	11	5	14	15	17	6	19	17
10	5	6	20	11	6	3	6	15	10
9	1	1	14	12	13	17	20	12	3
8	12	18	2	19	5	11	2	9	4
10	2	5	8	14	8	14	3	20	12
3	5	3	3	10	11	13	8	16	19
6	1	6	16	17	5	13	17	12	16
20	5	10	6	13	8	16	3	20	1
16	10	9	14	10	20	20	15	9	4
7	18	11	12	17	2	18	8	14	8
19	3	18	19	11	16	7	6	5	13
10	1	14	6	4	10	5	6	9	17
3	2	19	5	18	7	2	20	6	4
8	7	9	1	14	1	16	19	9	16
7	7	2	11	16	20	15	14	5	7
15	14	14	7	4	6	9	17	17	4
7	7	12	5	9	20	16	15	16	20
16	14	11	7	13	17	9	15	13	11
16	19	1	18	15	20	20	12	2	2
2	1	13	7	16	9	13	16	8	9
13	15	15	13	7	12	4	12	9	5
20	7	18	9	2	16	3	16	15	8
6	6	20	13	18	20	20	19	5	6
1	10	20	3	2	8	12	7	1	14


1	2	1	2	1	1	2	1	1	1
5	1	3	3	2	1	2	2	3	4
