80	5	5

1	1.3	1.55	1.75	2.1
4	6.76	9.61	12.25	17.64

46	96	10	29	76
57	1	85	20	93
84	24	9	62	29
28	45	22	88	70
88	2	21	81	29
10	16	94	73	24
93	72	17	80	5
20	62	60	16	97
90	82	45	94	53
99	70	59	80	21
82	31	36	24	77
92	54	81	32	62
44	20	97	25	75
38	79	98	61	90
36	90	57	93	12
73	63	78	87	91
78	87	7	71	89
7	65	29	65	36
26	93	46	13	18
21	2	27	71	41
46	45	33	14	75
35	32	46	97	74
99	16	71	51	63
26	51	84	38	66
79	62	84	71	83
27	89	58	28	40
26	91	72	1	51
82	55	80	9	92
78	56	12	92	77
67	44	40	50	13
89	73	41	97	80
46	21	62	38	96
67	21	64	14	18
61	27	76	94	49
17	96	41	60	78
31	20	89	54	87
9	61	52	70	14
48	3	21	24	48
2	5	2	20	64
53	48	30	71	45
23	28	54	6	72
37	26	67	19	58
72	21	26	70	99
60	55	47	26	33
62	42	64	26	92
91	48	37	89	67
96	86	10	42	38
22	21	39	52	85
21	77	28	71	31
11	78	73	5	46
37	77	81	76	41
8	98	21	64	95
41	32	21	64	61
36	3	99	48	11
47	20	25	78	84
33	23	52	23	90
50	99	10	4	33
57	44	25	47	65
69	97	42	61	16
1	48	68	26	46
87	46	59	23	7
95	53	37	77	8
15	82	82	76	56
21	36	61	46	57
66	57	45	45	62
53	94	98	23	9
24	98	98	81	74
83	62	69	21	77
80	11	10	37	64
29	80	57	85	49
57	37	39	14	88
27	65	78	26	71
23	90	99	64	92
32	3	33	50	66
30	4	27	72	85
45	39	76	5	33
8	56	88	93	60
31	60	18	14	75
20	60	92	55	24
5	72	68	49	68

1	20	6	15	14
8	13	16	10	10
13	19	11	3	12
10	8	2	18	14
5	10	12	2	8
16	19	5	18	8
5	4	4	8	15
14	4	16	1	17
15	19	9	5	16
9	8	19	18	14
10	9	6	6	4
20	12	17	2	10
16	13	13	13	7
20	18	3	8	4
19	7	3	2	10
14	6	18	14	2
7	13	20	16	6
7	8	16	2	19
10	13	10	17	11
10	5	17	10	16
16	18	7	9	4
5	13	15	5	9
15	19	6	20	19
12	7	1	19	11
10	7	1	13	13
6	8	2	15	7
4	13	11	11	5
5	10	16	19	10
3	20	15	10	4
9	4	14	2	18
11	18	5	3	6
12	1	5	18	2
9	7	2	18	14
9	14	7	6	3
20	19	5	7	13
6	12	2	15	6
1	14	6	10	6
7	4	8	15	3
15	3	19	1	2
11	3	3	4	13
17	13	13	2	19
3	1	13	8	19
6	12	4	12	5
7	1	7	19	14
1	20	16	4	2
19	18	16	4	5
13	2	13	3	12
12	8	16	12	18
1	1	1	11	10
13	5	4	18	17
12	10	15	19	20
7	13	2	17	1
2	14	5	4	2
5	20	13	20	5
20	20	12	20	16
20	8	7	17	9
14	16	11	3	16
8	4	7	16	1
1	7	10	14	1
11	18	9	12	16
9	9	14	18	4
15	4	11	7	16
11	14	2	6	17
14	18	5	12	17
15	16	11	6	11
4	16	1	19	6
3	6	18	12	17
1	4	2	11	20
18	14	16	19	2
16	2	6	6	6
12	2	12	6	16
16	15	12	12	19
16	20	11	14	6
1	3	4	14	5
19	9	1	4	19
10	2	12	6	9
20	14	8	4	7
6	19	17	18	1
13	3	13	4	11
2	2	12	17	16


2	1	1	1	2
5	5	3	4	3
