100	7	5

1	1.3	1.55	1.75	2.1
4	6.76	9.61	12.25	17.64

40	93	85	21	50
67	45	85	60	88
14	20	73	4	48
79	7	51	77	92
45	37	13	91	20
35	3	82	17	7
26	63	82	41	49
23	94	80	60	95
35	62	5	1	27
88	24	91	62	43
79	40	72	58	96
37	79	46	39	32
24	87	35	30	25
99	88	80	23	98
95	33	26	47	57
20	95	72	91	14
21	65	22	36	69
17	83	96	91	17
67	35	87	86	71
92	2	33	52	62
40	73	72	12	73
83	30	63	48	30
16	30	1	54	16
1	1	28	50	65
7	36	49	24	17
15	95	32	77	58
63	96	41	3	26
42	49	80	77	66
49	21	82	80	8
86	78	79	33	27
35	86	45	62	98
39	21	41	36	43
49	12	89	79	4
32	97	83	39	55
98	56	17	78	94
62	50	9	96	85
26	98	65	84	76
69	64	45	37	12
26	79	38	97	15
16	97	28	51	55
72	80	82	11	5
75	42	53	81	7
31	16	37	82	64
37	72	45	12	96
3	18	25	76	50
96	79	98	78	22
55	61	95	36	64
90	75	2	85	46
31	98	48	76	15
79	60	34	82	81
47	67	31	81	77
20	96	10	81	13
83	55	27	84	72
93	4	93	71	70
32	79	15	39	46
44	17	21	99	94
19	3	88	85	99
2	19	72	6	34
14	89	72	45	11
91	69	56	44	18
25	2	23	22	73
98	95	15	65	38
97	89	10	77	54
70	47	12	91	79
99	60	58	4	76
62	54	86	55	89
54	17	43	50	70
36	83	84	51	48
68	13	62	58	91
29	5	65	19	96
11	83	50	4	5
6	12	43	85	18
24	60	69	6	38
81	27	68	75	18
70	32	69	91	60
85	42	6	35	43
59	36	2	85	21
95	13	82	78	29
51	70	11	92	41
35	63	46	99	27
26	35	64	7	84
63	55	89	48	43
22	75	19	97	23
95	1	90	64	35
32	55	56	7	40
9	1	25	29	70
58	62	42	8	83
76	49	50	20	34
84	59	56	85	40
1	16	15	96	77
39	20	90	64	26
2	98	41	70	27
94	44	68	40	77
81	55	64	47	90
19	53	15	96	30
64	53	24	45	93
7	71	17	88	97
82	12	88	2	88
48	42	87	47	55
3	46	79	91	43

7	12	17	3	3
18	11	7	18	14
12	13	4	15	17
10	2	3	15	19
18	20	7	16	10
2	5	13	1	6
16	5	10	16	17
7	11	1	3	3
5	5	6	6	12
20	5	14	17	15
12	5	6	19	20
6	3	13	1	6
20	5	14	20	7
12	11	10	6	3
5	9	12	7	5
8	11	2	6	15
14	7	1	18	15
18	12	13	16	10
1	10	4	11	12
1	6	18	15	19
6	2	15	5	8
13	12	18	6	9
15	15	7	3	8
3	10	6	8	14
19	10	6	17	13
6	10	12	4	6
7	14	3	14	9
8	16	17	1	16
16	7	1	16	8
18	15	18	18	9
19	13	19	20	16
5	12	9	15	16
9	19	13	17	1
12	7	4	2	18
19	16	2	15	6
20	7	15	5	20
13	3	20	9	13
5	13	17	1	13
10	2	11	4	17
9	20	16	12	8
5	14	1	6	12
6	6	8	1	13
14	10	3	4	10
16	2	15	3	12
14	7	19	19	13
12	16	5	20	17
3	8	1	1	3
20	18	10	17	7
1	7	3	10	19
4	10	1	20	10
2	11	16	19	12
4	4	7	5	10
16	11	6	11	16
9	18	20	3	14
3	15	13	1	12
16	1	4	19	4
12	4	20	20	11
8	6	14	15	5
18	3	8	6	9
10	1	17	14	6
20	1	6	19	7
5	17	8	11	2
5	6	19	12	10
10	9	13	20	20
1	19	19	3	15
5	16	19	1	3
14	1	10	16	16
15	14	16	4	19
19	19	1	10	4
6	18	12	17	3
14	5	18	9	3
4	18	20	10	16
15	19	2	15	2
19	8	17	10	12
15	6	2	2	13
14	4	1	7	18
2	17	16	12	2
17	12	12	15	13
1	15	19	2	5
6	19	17	16	16
15	17	2	17	5
2	4	2	16	17
18	9	5	4	10
12	3	9	17	18
12	18	20	4	2
15	14	15	1	11
3	9	8	11	8
17	18	11	3	6
5	15	14	16	8
5	9	7	15	10
2	4	20	2	9
4	16	3	17	14
11	16	9	8	11
11	16	6	16	2
13	20	1	18	5
3	19	6	16	18
9	14	1	18	8
2	9	13	16	4
17	1	3	8	3
19	17	7	9	20


2	1	2	2	1
4	5	4	2	4
