20	2	10

1	1.3	1.55	1.75	2.1
4	6.76	9.61	12.25	17.64

62	70	57	54	37	4	17	66	76	78
15	9	1	54	29	86	17	15	40	51
35	86	5	86	52	97	20	91	53	72
21	73	70	31	19	99	53	28	18	51
83	90	12	48	92	25	42	64	96	79
33	95	16	56	68	2	46	92	42	68
93	69	83	46	42	34	56	55	8	30
85	39	7	80	87	93	82	50	20	45
10	75	84	19	44	53	8	95	61	22
73	95	48	30	89	61	12	18	42	57
57	21	40	72	89	98	54	50	29	58
49	87	40	12	42	27	38	43	96	68
86	75	78	20	43	76	21	22	13	62
53	78	20	38	11	93	74	1	59	66
78	35	40	57	18	74	10	6	60	41
55	88	51	81	39	54	32	49	84	45
87	23	40	89	50	21	56	72	34	14
39	18	32	38	83	89	2	52	59	53
32	19	23	45	87	49	10	26	2	53
75	32	27	16	61	36	83	40	58	41

9	11	17	1	16	8	8	12	18	20
3	8	9	11	13	4	18	12	10	19
19	16	4	18	16	15	9	15	12	10
19	6	16	7	13	18	12	1	6	7
7	14	6	4	13	2	1	9	1	15
12	9	20	1	17	2	16	15	3	11
9	7	18	9	15	2	16	13	7	14
18	10	15	6	3	20	5	5	18	12
9	1	11	7	5	2	10	14	17	1
16	18	12	16	20	10	3	13	4	12
2	14	3	10	2	18	11	10	20	7
6	9	20	4	11	3	18	16	13	1
10	17	5	3	16	19	3	10	13	16
19	18	5	9	7	11	2	5	6	18
1	8	15	16	8	1	18	3	13	3
8	16	18	12	17	12	18	14	5	16
17	6	14	12	18	10	7	16	8	2
10	13	6	2	18	4	11	1	8	12
9	13	16	14	8	9	14	4	11	15
1	2	19	20	20	16	6	6	18	10


2	1	2	2	2	2	2	2	1	1
2	3	2	3	1	2	2	5	5	1
